date,total,nobl,growth
2014-07-17 00:00:00-04:00,1065102.5118069523,736859.3163417549,328243.19546519744
2014-07-18 00:00:00-04:00,1076595.5038884378,743148.7001093971,333446.80377904075
2014-07-21 00:00:00-04:00,1075050.627413698,742020.1007172081,333030.52669648983
2014-07-22 00:00:00-04:00,1076844.3147701873,741697.6549912809,335146.6597789064
2014-07-23 00:00:00-04:00,1081091.683012442,743794.142481457,337297.54053098493
2014-07-24 00:00:00-04:00,1080226.1226813851,743310.1984324633,336915.92424892186
2014-07-25 00:00:00-04:00,1077778.8321441787,742181.2055258421,335597.62661833654
2014-07-28 00:00:00-04:00,1080947.2190901972,745245.5811140056,335701.6379761915
2014-07-29 00:00:00-04:00,1075519.1545737241,740407.2424644796,335111.9121092444
2014-07-30 00:00:00-04:00,1074257.1283244174,737826.8896281964,336430.2386962211
2014-07-31 00:00:00-04:00,1052781.8278426903,723150.9262767576,329630.90156593267
2014-08-01 00:00:00-04:00,1052212.7975798554,723796.2112430446,328416.5863368109
2014-08-04 00:00:00-04:00,1059628.7183401894,728957.1530242709,330671.5653159186
2014-08-05 00:00:00-04:00,1050645.5337437913,722506.3496364489,328139.1841073425
2014-08-06 00:00:00-04:00,1051692.5670522323,723796.2112430446,327896.3558091878
2014-08-07 00:00:00-04:00,1047103.7826510698,720248.2064174333,326855.5762336364
2014-08-08 00:00:00-04:00,1059623.2450965927,730408.5916568195,329214.6534397732
2014-08-11 00:00:00-04:00,1064145.8226373934,732988.6296815568,331157.1929558366
2014-08-12 00:00:00-04:00,1063684.5970938455,732666.1052527431,331018.49184110237
2014-08-13 00:00:00-04:00,1071058.791793074,736536.6345071681,334522.15728590585
2014-08-14 00:00:00-04:00,1075535.2384556637,739278.5643694043,336256.6740862594
2014-08-15 00:00:00-04:00,1074746.5537832957,736859.3163417549,337887.2374415407
2014-08-18 00:00:00-04:00,1084767.1054844297,744278.1652333372,340488.9402510925
2014-08-19 00:00:00-04:00,1089739.1897585797,747342.2260099548,342396.96374862496
2014-08-20 00:00:00-04:00,1090545.2647219547,748148.3009733298,342396.96374862496
2014-08-21 00:00:00-04:00,1093658.1296913126,750567.3128923199,343090.8167989926
2014-08-22 00:00:00-04:00,1092082.3531123658,748471.218916576,343611.1341957898
2014-08-25 00:00:00-04:00,1096360.71278553,751535.4370989667,344825.2756865633
2014-08-26 00:00:00-04:00,1095901.1210864112,750728.8899182726,345172.2311681385
2014-08-27 00:00:00-04:00,1095808.9525306083,750567.3128923199,345241.63963828835
2014-08-28 00:00:00-04:00,1094459.7837522074,749599.818308765,344859.9654434425
2014-08-29 00:00:00-04:00,1097679.0104161154,751535.4370989667,346143.57331714866
2014-09-02 00:00:00-04:00,1099491.303647544,752341.6694681146,347149.63417942944
2014-09-03 00:00:00-04:00,1098089.3338714628,752986.4822170828,345102.85165438
2014-09-04 00:00:00-04:00,1098422.3820694452,753631.7671833698,344790.61488607543
2014-09-05 00:00:00-04:00,1103866.410184764,757341.191629161,346525.21855560306
2014-09-08 00:00:00-04:00,1100816.0332068957,753631.7671833698,347184.2660235259
2014-09-09 00:00:00-04:00,1094550.0326084266,750245.1032750519,344304.92933337466
2014-09-10 00:00:00-04:00,1099329.8840273642,752180.2498479348,347149.63417942944
2014-09-11 00:00:00-04:00,1099858.5983414783,752986.4822170828,346872.1161243955
2014-09-12 00:00:00-04:00,1093896.122782451,748793.271128071,345102.85165438
2014-09-15 00:00:00-04:00,1091533.9805821953,749761.3166318312,341772.6639503641
2014-09-16 00:00:00-04:00,1099032.7122138024,754276.8160409975,344755.8961728048
2014-09-17 00:00:00-04:00,1100037.0107822723,754760.6813871047,345276.3293951676
2014-09-18 00:00:00-04:00,1106831.9536372272,758953.8924761164,347878.06116111076
2014-09-19 00:00:00-04:00,1107261.3724144984,759598.8626308576,347662.50978364074
2014-09-22 00:00:00-04:00,1104349.7240756005,759921.1509510119,344428.57312458864
2014-09-23 00:00:00-04:00,1097282.857103767,753793.1081006633,343489.7490031038
2014-09-24 00:00:00-04:00,1107044.5663759585,759868.8135314997,347175.75284445874
2014-09-25 00:00:00-04:00,1090344.916762498,750471.5314794681,339873.38528302993
2014-09-26 00:00:00-04:00,1097363.7636710731,753874.0146679694,343489.7490031038
2014-09-29 00:00:00-04:00,1096101.794040349,753064.0832631566,343037.71077719243
2014-09-30 00:00:00-04:00,1094644.1256323308,751119.5710467821,343524.55458554864
2014-10-01 00:00:00-04:00,1081211.014199179,743180.7321841962,338030.2820149826
2014-10-02 00:00:00-04:00,1082993.3197665086,744963.037751526,338030.2820149826
2014-10-03 00:00:00-04:00,1094270.4251663068,752901.8766141118,341368.5485521949
2014-10-06 00:00:00-04:00,1093378.340007252,752739.9847766131,340638.3552306391
2014-10-07 00:00:00-04:00,1078661.687571296,742856.7911034257,335804.89646787045
2014-10-08 00:00:00-04:00,1097512.3507616082,755170.1725054838,342342.1782561245
2014-10-09 00:00:00-04:00,1079184.1243673405,742370.8794822699,336813.24488507066
2014-10-10 00:00:00-04:00,1069634.8333006394,741236.6921851407,328398.14111549867
2014-10-13 00:00:00-04:00,1051040.7167112124,727788.9660801803,323251.75063103216
2014-10-14 00:00:00-04:00,1053991.8993325508,730705.4589446393,323286.4403879114
2014-10-15 00:00:00-04:00,1049475.1964521217,728275.035107109,321200.1613450128
